"match_id","radiant_team_id","dire_team_id","duration","radiant_score","dire_score","radiant_win"
3158353798,4284542,3725701,3768,34,24,false
3176441574,4283720,4327144,1387,13,69,true
3161943191,4283567,3705786,2485,43,28,true
3161943191,4283567,3705786,2485,43,28,false
3176629805,4282123,3714164,1617,18,36,true
3230825043,4278602,4369633,1140,6,25,false
3238792868,4278602,2714312,1793,4,35,true
3222566079,4278602,2099268,2903,27,42,false
3176434195,4277945,2321045,2563,37,18,false
3176513381,4277763,4361011,1854,18,21,true
3277351833,4274839,3927252,3541,36,52,true
3136514423,4274274,2442308,1899,12,35,true
3176676296,4262339,2627368,1543,11,32,true
3139792068,4258635,3971206,1514,20,32,true
3178595261,4256705,3672381,2564,22,41,false
3149269675,4256705,2679744,4102,66,53,false
3135791879,4256705,3707261,2317,34,53,true
3149269675,4256705,2679744,4102,66,53,true
3137048517,4253054,2640025,2490,20,17,false
3138972122,4253054,2586976,1906,10,26,false
3144437316,4253054,2586976,2904,30,36,false
3139141584,4253054,2586976,3443,29,31,true
3137048517,4253054,2640025,2490,20,17,true
