"Match ID","Series","League","Start Date/Time","Match Length","Duration secs","Kills Score","Dummy","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"3115701263","131833","5313","13 abr 2017 02:59","27:36","1656","25-9","25,9","Radiant","Mineski","MuShi, ninjaboogie, ky xY `|, 343, raging-_-potato","Fnatic","Meracle♥L, QO, Ohaiyo, DJ, Febby"
"3115470596","131807","5313","13 abr 2017 12:49","37:58","2278","19-47","19,47","Dire","Team EVOS","ramz?, U e O, ilLogic, Vlaicuu, ÂVILLE","Faceless","Black^, iceiceice, xy, NutZ, Jabz"
"3115399220","131807","5313","13 abr 2017 12:02","20:49","1249","5-20","5,20","Dire","Team EVOS","ramz?, U e O, ilLogic, Vlaicuu, ÂVILLE","Faceless","Black^, iceiceice, xy, NutZ, Jabz"
"3114182011","131664","5313","12 abr 2017 06:13","46:24","2784","22-35","22,35","Dire","Geek Fam","Net, Roddgee, Velo, Teehee, Syeonix","Mineski","MuShi, ninjaboogie, ky xY `|, 343, raging-_-potato"
"3113953197","131669","5313","12 abr 2017 04:11","22:25","1345","15-35","15,35","Dire","WarriorsGaming.Youth","yaNG, wL-, ChYuaN, Wenn, xiaNG","Fnatic","Meracle♥L, QO, Ohaiyo, DJ, Febby"
"3113943898","131664","5313","12 abr 2017 04:07","1:39:23","5963","54-63","54,63","Dire","Mineski","MuShi, ninjaboogie, ky xY `|, 343, raging-_-potato","Geek Fam","Net, Roddgee, Velo, Teehee, Syeonix"
"3113874541","131669","5313","12 abr 2017 03:33","16:55","1015","3-25","3,25","Dire","WarriorsGaming.Youth","yaNG, wL-, ChYuaN, Wenn, xiaNG","Fnatic","Meracle♥L, QO, Ohaiyo, DJ, Febby"
"3113810768","131664","5313","12 abr 2017 03:02","39:05","2345","13-27","13,27","Dire","Geek Fam","Net, Roddgee, Velo, Teehee, Syeonix","Mineski","MuShi, ninjaboogie, ky xY `|, 343, raging-_-potato"
"3113711851","131637","5313","12 abr 2017 02:10","44:17","2657","25-28","25,28","Dire","Rex Regum QEON","KoaLamon, Bokerino, Yabyooo, Xepher, KelThuzard","Fnatic","Meracle♥L, QO, Ohaiyo, DJ, Febby"
"3113610845","131638","5313","12 abr 2017 01:10","40:20","2420","32-20","32,20","Radiant","Mineski","MuShi, ninjaboogie, ky xY `|, 343, raging-_-potato","WarriorsGaming.Unity","xNova, KanGaroo, NaNa, ah fu , Ah Jit"
"3113609338","131637","5313","12 abr 2017 01:09","39:50","2390","34-13","34,13","Radiant","Rex Regum QEON","KoaLamon, Bokerino, Yabyooo, Xepher, KelThuzard","Fnatic","Meracle♥L, QO, Ohaiyo, DJ, Febby"
"3113513704","131638","5313","12 abr 2017 12:05","40:41","2441","6-32","6,32","Dire","WarriorsGaming.Unity","xNova, KanGaroo, NaNa, ah fu , Ah Jit","Mineski","MuShi, ninjaboogie, ky xY `|, 343, raging-_-potato"
